title,year,budget,gross,duration,classification,votes,rating,language,country,cast_total_facebook_likes,action,adventure,fantasy,sci_fi,thriller,romance,comedy,other,drama,crime
Avatar ,2009,237000000,760505847,178,12A,886204,7.9,English,USA,4834,1,1,1,1,0,0,0,0,0,0
Pirates of the Caribbean: At World's End ,2007,300000000,309404152,169,12A,471220,7.1,English,USA,48350,1,1,1,0,0,0,0,0,0,0
Spectre ,2015,245000000,200074175,148,12A,275868,6.8,English,UK,11700,1,1,0,0,1,0,0,0,0,0
The Dark Knight Rises ,2012,250000000,448130642,164,12A,1144337,8.5,English,USA,106759,1,0,0,0,1,0,0,0,0,0
John Carter ,2012,263700000,73058679,132,12A,212204,6.6,English,USA,1873,1,1,0,1,0,0,0,0,0,0
Spider-Man 3 ,2007,258000000,336530303,156,12A,383056,6.2,English,USA,46055,1,1,0,0,0,1,0,0,0,0
Tangled ,2010,260000000,200807262,100,PG,294810,7.8,English,USA,2036,0,1,1,0,0,1,1,1,0,0
Avengers: Age of Ultron ,2015,250000000,458991599,141,12A,462669,7.5,English,USA,92000,1,1,0,1,0,0,0,0,0,0
Harry Potter and the Half-Blood Prince ,2009,250000000,301956980,153,PG,321795,7.5,English,UK,58753,0,1,1,0,0,0,0,1,0,0
Batman v Superman: Dawn of Justice ,2016,250000000,330249062,183,12A,371639,6.9,English,USA,24450,1,1,0,1,0,0,0,0,0,0
Superman Returns ,2006,209000000,200069408,169,12A,240396,6.1,English,USA,29991,1,1,0,1,0,0,0,0,0,0
Quantum of Solace ,2008,200000000,168368427,106,12A,330784,6.7,English,UK,2023,1,1,0,0,0,0,0,0,0,0
Pirates of the Caribbean: Dead Man's Chest ,2006,225000000,423032628,151,12A,522040,7.3,English,USA,48486,1,1,1,0,0,0,0,0,0,0
The Lone Ranger ,2013,215000000,89289910,150,12A,181792,6.5,English,USA,45757,1,1,0,0,0,0,0,1,0,0
Man of Steel ,2013,225000000,291021565,143,12A,548573,7.2,English,USA,20495,1,1,1,1,0,0,0,0,0,0
The Chronicles of Narnia: Prince Caspian ,2008,225000000,141614023,150,PG,149922,6.6,English,USA,22697,1,1,1,0,0,0,0,1,0,0
The Avengers ,2012,220000000,623279547,173,12A,995415,8.1,English,USA,87697,1,1,0,1,0,0,0,0,0,0
Pirates of the Caribbean: On Stranger Tides ,2011,250000000,241063875,136,12A,370704,6.7,English,USA,54083,1,1,1,0,0,0,0,0,0,0
Men in Black 3 ,2012,225000000,179020854,106,12A,268154,6.8,English,USA,12572,1,1,1,1,0,0,1,1,0,0
The Hobbit: The Battle of the Five Armies ,2014,250000000,255108370,164,12A,354228,7.5,English,New Zealand,9152,0,1,1,0,0,0,0,0,0,0
The Amazing Spider-Man ,2012,230000000,262030663,153,12A,451803,7,English,USA,28489,1,1,1,0,0,0,0,0,0,0
Robin Hood ,2010,200000000,105219735,156,12A,211765,6.7,English,USA,3244,1,1,0,0,0,0,0,1,1,0
The Hobbit: The Desolation of Smaug ,2013,225000000,258355354,186,12A,483540,7.9,English,USA,9152,0,1,1,0,0,0,0,0,0,0
The Golden Compass ,2007,180000000,70083519,113,12A,149019,6.1,English,USA,24106,0,1,1,0,0,0,0,1,0,0
King Kong ,2005,207000000,218051260,201,12A,316018,7.2,English,New Zealand,7123,1,1,0,0,0,1,0,0,1,0
Titanic ,1997,200000000,658672302,194,12A,793059,7.7,English,USA,45223,0,0,0,0,0,1,0,0,1,0
Captain America: Civil War ,2016,250000000,407197282,147,12A,272670,8.2,English,USA,64798,1,1,0,1,0,0,0,0,0,0
Battleship ,2012,209000000,65173160,131,12A,202382,5.9,English,USA,26679,1,1,0,1,1,0,0,0,0,0
Jurassic World ,2015,150000000,652177271,124,12A,418214,7,English,USA,8458,1,1,0,1,1,0,0,0,0,0
Skyfall ,2012,200000000,304360277,143,12A,522030,7.8,English,UK,2039,1,1,0,0,1,0,0,0,0,0
Spider-Man 2 ,2004,200000000,373377893,135,12A,411164,7.3,English,USA,43388,1,1,1,0,0,1,0,0,0,0
Iron Man 3 ,2013,200000000,408992272,195,12A,557489,7.2,English,USA,30426,1,1,0,1,0,0,0,0,0,0
Alice in Wonderland ,2010,200000000,334185206,108,PG,306320,6.5,English,USA,79957,0,1,1,0,0,0,0,1,0,0
X-Men: The Last Stand ,2006,210000000,234360014,104,12A,383427,6.8,English,Canada,21714,1,1,1,1,1,0,0,0,0,0
Monsters University ,2013,200000000,268488329,104,U,235025,7.3,English,USA,14863,0,1,1,0,0,0,1,1,0,0
Transformers: Revenge of the Fallen ,2009,200000000,402076689,150,12A,323207,6,English,USA,3218,1,1,0,1,0,0,0,0,0,0
Transformers: Age of Extinction ,2014,210000000,245428137,165,12A,242420,5.7,English,USA,3988,1,1,0,1,0,0,0,0,0,0
Oz the Great and Powerful ,2013,215000000,234903076,130,PG,175409,6.4,English,USA,73441,0,1,1,0,0,0,0,1,0,0
The Amazing Spider-Man 2 ,2014,200000000,202853933,142,12A,321227,6.7,English,USA,28631,1,1,1,1,0,0,0,0,0,0
TRON: Legacy ,2010,170000000,172051787,125,PG,264183,6.8,English,USA,25550,1,1,0,1,0,0,0,0,0,0
Cars 2 ,2011,200000000,191450875,106,U,101178,6.3,English,USA,4482,0,1,0,0,0,0,1,1,0,0
Green Lantern ,2011,200000000,116593191,123,12A,223393,5.6,English,USA,17657,1,1,0,1,0,0,0,0,0,0
